filename,width,height,class,xmin,ymin,xmax,ymax
malfunction_1.png,480,640,malfunction,168,366,306,474
malfunction_1.png,480,640,malfunction,503,11,614,309
malfunction_2.png,480,640,malfunction,333,366,468,475
malfunction_2.png,480,640,malfunction,432,250,512,439
malfunction_2.png,480,640,malfunction,12,13,145,223
malfunction_3.png,480,640,malfunction,416,372,476,436
malfunction_3.png,480,640,malfunction,354,365,411,433
malfunction_4.png,480,640,malfunction,79,13,173,258
malfunction_5.png,480,640,malfunction,197,12,291,260
malfunction_6.png,480,640,malfunction,314,20,367,248
malfunction_6.png,480,640,malfunction,485,18,615,271
malfunction_7.png,480,640,malfunction,414,23,461,219
malfunction_7.png,480,640,malfunction,490,19,538,221
malfunction_8.png,480,640,malfunction,519,15,602,304
malfunction_9.png,480,640,malfunction,14,9,103,314
malfunction_10.png,480,640,malfunction,182,13,345,146
malfunction_11.png,480,640,malfunction,295,8,475,142
malfunction_12.png,480,640,malfunction,419,8,579,141
malfunction_14.png,480,640,malfunction,224,370,313,479
malfunction_14.png,480,640,malfunction,282,368,424,459
malfunction_15.png,480,640,malfunction,90,12,263,323
malfunction_16.png,480,640,malfunction,154,12,277,169
malfunction_17.png,480,640,malfunction,279,9,398,168
malfunction_18.png,480,640,malfunction,347,11,441,86
malfunction_20.png,480,640,malfunction,61,17,148,224
malfunction_20.png,480,640,malfunction,12,13,91,225
malfunction_21.png,480,640,malfunction,129,9,270,260
malfunction_21.png,480,640,malfunction,12,8,140,396
malfunction_22.png,480,640,malfunction,483,369,624,439
malfunction_22.png,480,640,malfunction,179,22,226,172
malfunction_23.png,480,640,malfunction,55,370,133,472
malfunction_23.png,480,640,malfunction,297,19,344,158
malfunction_24.png,480,640,malfunction,331,10,573,413
malfunction_25.png,480,640,malfunction,449,12,629,402
malfunction_26.png,480,640,malfunction,305,368,472,468
malfunction_26.png,480,640,malfunction,12,8,103,166
malfunction_27.png,480,640,malfunction,21,8,114,412
malfunction_28.png,480,640,malfunction,56,19,103,176
malfunction_28.png,480,640,malfunction,176,9,238,132
malfunction_30.png,480,640,malfunction,562,29,625,293
malfunction_30.png,480,640,malfunction,304,10,367,271
malfunction_31.png,480,640,malfunction,267,369,362,439
malfunction_31.png,480,640,malfunction,338,246,394,399
malfunction_31.png,480,640,malfunction,549,14,629,168
malfunction_32.png,480,640,malfunction,12,11,143,273
malfunction_33.png,480,640,malfunction,515,246,629,477
malfunction_34.png,480,640,malfunction,104,12,297,402
malfunction_35.png,480,640,malfunction,48,236,160,472
malfunction_35.png,480,640,malfunction,223,7,414,400
malfunction_36.png,480,640,malfunction,357,7,546,320
malfunction_37.png,480,640,malfunction,457,12,590,138
malfunction_38.png,480,640,malfunction,32,9,151,447
malfunction_39.png,480,640,malfunction,513,372,589,443
malfunction_39.png,480,640,malfunction,569,247,629,421
malfunction_40.png,480,640,malfunction,411,369,471,450
malfunction_41.png,480,640,malfunction,97,249,159,422
malfunction_41.png,480,640,malfunction,196,13,256,204
malfunction_42.png,480,640,malfunction,308,9,627,343
malfunction_43.png,480,640,malfunction,205,258,394,446
malfunction_43.png,480,640,malfunction,439,12,530,226
malfunction_44.png,480,640,malfunction,336,242,512,439
malfunction_45.png,480,640,malfunction,475,252,629,477
malfunction_46.png,480,640,malfunction,497,376,550,459
malfunction_47.png,480,640,malfunction,527,369,614,464
malfunction_47.png,480,640,malfunction,106,241,159,390
malfunction_48.png,480,640,malfunction,119,243,277,447
malfunction_48.png,480,640,malfunction,368,11,518,315
malfunction_49.png,480,640,malfunction,241,241,395,444
malfunction_49.png,480,640,malfunction,484,13,629,313
malfunction_50.png,480,640,malfunction,354,243,512,446
malfunction_50.png,480,640,malfunction,538,12,609,341
malfunction_51.png,480,640,malfunction,100,11,260,428
malfunction_52.png,480,640,malfunction,212,11,380,431
malfunction_52.png,480,640,malfunction,67,10,196,377
malfunction_53.png,480,640,malfunction,41,249,159,478
malfunction_53.png,480,640,malfunction,197,18,291,300
malfunction_54.png,480,640,malfunction,15,366,110,435
malfunction_54.png,480,640,malfunction,197,237,277,478
malfunction_55.png,480,640,malfunction,60,371,131,448
malfunction_55.png,480,640,malfunction,451,10,556,127
malfunction_56.png,480,640,malfunction,357,369,463,465
malfunction_56.png,480,640,malfunction,448,261,511,431
malfunction_56.png,480,640,malfunction,106,35,161,179
malfunction_56.png,480,640,malfunction,12,12,136,88
malfunction_58.png,480,640,malfunction,127,9,272,382
malfunction_59.png,480,640,malfunction,287,8,500,347
malfunction_60.png,480,640,malfunction,147,244,277,466
malfunction_61.png,480,640,malfunction,94,366,185,455
malfunction_62.png,480,640,malfunction,552,16,629,182
malfunction_63.png,480,640,malfunction,378,367,605,480
malfunction_64.png,480,640,malfunction,79,16,174,180
malfunction_65.png,480,640,malfunction,232,13,302,386
malfunction_67.png,480,640,malfunction,66,366,124,452
malfunction_68.png,480,640,malfunction,309,247,512,464
malfunction_69.png,480,640,malfunction,393,370,507,478
malfunction_69.png,480,640,malfunction,133,15,225,299
malfunction_69.png,480,640,malfunction,12,13,133,126
malfunction_70.png,480,640,malfunction,145,8,391,329
malfunction_71.png,480,640,malfunction,549,365,621,424
malfunction_71.png,480,640,malfunction,373,19,420,155
malfunction_72.png,480,640,malfunction,363,12,449,206
malfunction_73.png,480,640,malfunction,157,371,245,458
malfunction_73.png,480,640,malfunction,540,12,627,103
malfunction_74.png,480,640,malfunction,255,365,363,461
malfunction_75.png,480,640,malfunction,157,12,274,250
malfunction_76.png,480,640,malfunction,274,10,391,244
malfunction_77.png,480,640,malfunction,217,13,336,230
malfunction_78.png,480,640,malfunction,333,7,453,232
malfunction_79.png,480,640,malfunction,467,10,579,301
malfunction_80.png,480,640,malfunction,12,10,159,443
malfunction_81.png,480,640,malfunction,487,367,530,410
malfunction_82.png,480,640,malfunction,449,370,577,455
malfunction_82.png,480,640,malfunction,79,13,144,304
malfunction_83.png,480,640,malfunction,185,11,284,232
malfunction_83.png,480,640,malfunction,324,10,479,367
malfunction_83.png,480,640,malfunction,256,10,349,262
malfunction_85.png,480,640,malfunction,521,10,629,346
malfunction_86.png,480,640,malfunction,317,371,413,471
malfunction_86.png,480,640,malfunction,12,16,81,218
malfunction_86.png,480,640,malfunction,550,7,629,102
malfunction_87.png,480,640,malfunction,465,368,602,455
