feature,feature,type,p_value,relevant
"F_x__fft_coefficient__coeff_1__attr_""abs""","F_x__fft_coefficient__coeff_1__attr_""abs""",real,1.0046938387007662e-126,True
"F_x__fft_coefficient__coeff_2__attr_""abs""","F_x__fft_coefficient__coeff_2__attr_""abs""",real,1.841348754334631e-110,True
"F_x__fft_coefficient__coeff_3__attr_""abs""","F_x__fft_coefficient__coeff_3__attr_""abs""",real,6.582392658349239e-99,True
"F_x__fft_coefficient__coeff_5__attr_""abs""","F_x__fft_coefficient__coeff_5__attr_""abs""",real,9.977336668001573e-99,True
"F_x__fft_coefficient__coeff_4__attr_""abs""","F_x__fft_coefficient__coeff_4__attr_""abs""",real,3.997993480661056e-98,True
"F_x__fft_coefficient__coeff_7__attr_""abs""","F_x__fft_coefficient__coeff_7__attr_""abs""",real,1.101874312691957e-96,True
"F_x__fft_coefficient__coeff_6__attr_""abs""","F_x__fft_coefficient__coeff_6__attr_""abs""",real,1.9020708765793549e-91,True
"F_x__fft_coefficient__coeff_23__attr_""abs""","F_x__fft_coefficient__coeff_23__attr_""abs""",real,2.876717947115372e-87,True
"F_x__fft_coefficient__coeff_11__attr_""abs""","F_x__fft_coefficient__coeff_11__attr_""abs""",real,6.796478922194206e-87,True
"F_x__fft_coefficient__coeff_17__attr_""abs""","F_x__fft_coefficient__coeff_17__attr_""abs""",real,1.3672743300880408e-86,True
"F_x__fft_coefficient__coeff_31__attr_""abs""","F_x__fft_coefficient__coeff_31__attr_""abs""",real,2.8255028309531023e-85,True
"F_x__fft_coefficient__coeff_25__attr_""abs""","F_x__fft_coefficient__coeff_25__attr_""abs""",real,2.293365170388825e-84,True
"F_x__fft_coefficient__coeff_47__attr_""abs""","F_x__fft_coefficient__coeff_47__attr_""abs""",real,7.575681207353714e-84,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",real,2.9015252973644007e-83,True
"F_x__fft_coefficient__coeff_9__attr_""abs""","F_x__fft_coefficient__coeff_9__attr_""abs""",real,3.313323185851796e-82,True
"F_x__fft_coefficient__coeff_13__attr_""abs""","F_x__fft_coefficient__coeff_13__attr_""abs""",real,1.4906942398232146e-81,True
"F_x__fft_coefficient__coeff_35__attr_""abs""","F_x__fft_coefficient__coeff_35__attr_""abs""",real,1.458343983465897e-80,True
"F_x__fft_coefficient__coeff_41__attr_""abs""","F_x__fft_coefficient__coeff_41__attr_""abs""",real,3.550502394526829e-80,True
"F_x__fft_coefficient__coeff_22__attr_""abs""","F_x__fft_coefficient__coeff_22__attr_""abs""",real,4.0542526948199516e-80,True
"F_x__fft_coefficient__coeff_10__attr_""abs""","F_x__fft_coefficient__coeff_10__attr_""abs""",real,6.383506453451821e-80,True
